id,hashtags,retweet_id,user_id,user_loc,user_time_zone,user_created_at,user_desc,created_at,retweet_count,text
969963092418408449,"['guncontrol', 'MAGA', '2A']",969757572113805312,397675958,Ohio ,Eastern Time (US & Canada),Tue Oct 25 00:56:31 +0000 2011,National Sarcasm Society - like we need your support,Sat Mar 03 15:49:56 +0000 2018,374,b'RT @SonofLiberty357: Most effective #guncontrol = no guns for democrats #MAGA #2A https://t.co/KRGjBpSQvP'
969963049783263232,"['MSM', 'Trump', 'GunControl', 'StockMarket', 'Trump2020']",969318317092585472,829190355295883264,LAND OF OUR LORD KING OF KINGS,,Wed Feb 08 04:49:21 +0000 2017,Truth teller,Sat Mar 03 15:49:46 +0000 2018,20,b'RT @BrianPSmyth: Don\xe2\x80\x99t Believe #MSM on #Trump #GunControl - #StockMarket Tumbling- #Trump2020  https://t.co/gIa0TwOG3t'
969963047036116993,['GunControl'],969925967597768707,61532150,,Casablanca,Thu Jul 30 16:37:33 +0000 2009,"Anti-globalist, Brexiteer & Trumpista. Proudly followed by @genflynn @Scaramucci @TRobinsonNewEra @paulwestonlibgb @JamieGlazov🇬🇧",Sat Mar 03 15:49:46 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
969963033773727744,"['GunControl', 'PresidentTrump']",969920273087631362,968663917873586176,,,Wed Feb 28 01:47:29 +0000 2018,,Sat Mar 03 15:49:42 +0000 2018,43,b'RT @DrMartyFox: If Hillary Was President We Would Have #GunControl While The Bodies Are Still Warm \n\nBut #PresidentTrump Understands We Nee\xe2\x80\xa6'
969963027423350784,['GunControl'],969925967597768707,749427658144886784,MT VERNON WA,,Sun Jul 03 02:20:52 +0000 2016,"Disable Vet, Christian and conservative.",Sat Mar 03 15:49:41 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
969962897848897542,"['guncontrol', 'Gun']",969755481316130816,788815026316599296,Flether NC,,Wed Oct 19 18:52:12 +0000 2016,ASE Master Tech.  Proud NRA member,Sat Mar 03 15:49:10 +0000 2018,706,"b'RT @MEL2AUSA: .@dbongino on #guncontrol: ""#Gun laws are the only laws that affect the law abiding and don\'t affect criminals one bit."" #Def\xe2\x80\xa6'"
969962885291171843,"['GunControl', 'GunLaws', 'LawAbiding', 'Criminals']",969916920643416064,3030920836,North Carolina,,Wed Feb 11 18:04:26 +0000 2015,,Sat Mar 03 15:49:07 +0000 2018,239,"b'RT @ANOMALY1: \xf0\x9f\x91\x8d@dbongino on #GunControl \n\n""#GunLaws are the only laws that affect the #LawAbiding &amp; don\'t affect #Criminals one bit""#IStand\xe2\x80\xa6'"
969962869583503361,['GunControl'],,40728758,Fort Worth,Central Time (US & Canada),Sun May 17 20:20:44 +0000 2009,Business consultant,Sat Mar 03 15:49:03 +0000 2018,0,"b'#GunControl Is about dividing the American people, consolidating power in Washington and filling campaign coffers.  anybody that thinks differently needs to look at DOJ reports on Brady bill enforcement.'"
969962782207741952,"['Liberal', '2AShallNotBeInfringed', 'GunControl', 'NoGunFreeZones']",969724464244998145,4546986377,"New Jersey, USA",Pacific Time (US & Canada),Sun Dec 20 14:25:53 +0000 2015,"Christian, Pro-Life Supporter, Truther, Animal lover, ALL AMERICAN, USFA Member #AmericaFirst #NRAMember  #GOAMember #USFA #Prolife #2A",Sat Mar 03 15:48:42 +0000 2018,253,"b'RT @GemMar333: SIMPLE ENOUGH, EVEN A #Liberal CAN UNDERSTAND IT\xf0\x9f\x90\x91\xf0\x9f\x90\x91\xf0\x9f\x90\xba\xf0\x9f\x90\xba\n\n#2AShallNotBeInfringed \n#GunControl \n#NoGunFreeZones https://t.co/lHnd\xe2\x80\xa6'"
969962776750903296,"['GunControl', 'NRA', '2ADefenders']",967265018994679808,968663917873586176,,,Wed Feb 28 01:47:29 +0000 2018,,Sat Mar 03 15:48:41 +0000 2018,434,"b""RT @ChristieC733: Sorry, Despite #GunControl Advocates' Claims... \n\n'U.S. Isn't The Worst Country For Mass Shootings'\n\n#NRA \n#2ADefenders\xe2\x80\xa6"""
969962591417184258,['GunControl'],969925967597768707,705203576419672064,"Ont, Canada",,Thu Mar 03 01:30:09 +0000 2016,"👎🏻Political Correctness, 👎🏻StatusQuo #Scheer4pm2019 #MCGA #TrudeauMustGo #DrainTheSwamp #MAGA #Trump2020 RT's✖️=Endorsement",Sat Mar 03 15:47:57 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
969962568851886081,"['GunControl', 'DACA']",969961051423952896,746321048,Undisclosed Bunker in TX,Central Time (US & Canada),Thu Aug 09 01:47:02 +0000 2012,Christian by grace of God! Husband Dog lover Conservative Libertarian USAF The Citadel-Lima '94  Ever faithful Buffalo Bills Fan! #2A @buffalobills @Citadel1842,Sat Mar 03 15:47:52 +0000 2018,21,b'RT @DocThompsonShow: The @DNC scream that the @GOP \xe2\x80\x9chates\xe2\x80\x9d &amp; won\xe2\x80\x99t pass #GunControl or #DACA...\n\nwhy didn\xe2\x80\x99t THEY do it 2009-2011???'
969962543681818624,"['HR5087', 'GunControl', 'GunRights', 'freedom', 'ribsworld', 'agelimits']",969899456689856515,3057591346,,,Mon Feb 23 23:31:54 +0000 2015,,Sat Mar 03 15:47:46 +0000 2018,2,b'RT @RibsWorld2day: \xf0\x9f\x94\x97 https://t.co/hExgp1yMSi \n\n#HR5087 #GunControl solves nothing #GunRights #freedom #ribsworld #agelimits #2AShallNotBeIn\xe2\x80\xa6'
969962530155220992,"['guncontrol', 'NRABoycott']",,17272274,NYC ,Eastern Time (US & Canada),Sun Nov 09 18:54:53 +0000 2008,Founder of Punk Outlaw Records & Producer at Punk Outlaw Productions. More info at https://t.co/oCee9baFFK and https://t.co/G3wZaX8lf4,Sat Mar 03 15:47:42 +0000 2018,0,b'Patriot @Ralph_Peters1 commentary makes numerous common sense points about #guncontrol yet @nypost exiles it to a Saturday edition. Is the @nypost scared of @NRA too? &amp; @Peggynoonannyc where r u at? Billy G. is buried. We need ur talented words on THIS issue 2! #NRABoycott'
