id,hashtags,retweet_id,user_id,user_loc,user_time_zone,user_created_at,user_desc,created_at,retweet_count,text
970448770252070913,"['GunControl', 'NRA']",970376437210533889,28401740,"South Carolina, USA",,Thu Apr 02 19:31:57 +0000 2009,Constitutional Conservative. Christian. Patriot. #MAGA Loves the USA and our military!,Sun Mar 04 23:59:51 +0000 2018,22,b'RT @Kindhearted2015: And the Oscar for best tweet about #GunControl goes to the awesome Charlie Daniels! \n\nWell said Charlie! \n\n#NRA #2ndAm\xe2\x80\xa6'
970448761142104066,"['Qanon', '2ndAmericanRevolution', 'WakeUp', 'DarkState', 'FalseFlag', '2ndAmendment', 'GunControl']",969238968087826432,893672222010875904,USA,,Sat Aug 05 03:17:16 +0000 2017,"Petition to appoint Larry Klayman, who will bring charges against Hillary Clinton for her many crimes! go to https://t.co/jHGgZjO6V9 to sign petition! #MAGA",Sun Mar 04 23:59:49 +0000 2018,73,b'RT @Deplorable80210: #Qanon #2ndAmericanRevolution #WakeUp #DarkState #FalseFlag #2ndAmendment\n\nTHE TRUTH ABOUT FEDERAL #GunControl...\n\nThe\xe2\x80\xa6'
970448757107109888,"['2A', 'NRA', 'Patriots', 'MAGA', '2ndwillstand', 'guncontrol', 'GunGrab', 'DueProcess']",969994497978486784,48330984,South Dakota,America/Chicago,Thu Jun 18 12:19:18 +0000 2009,"Love being a wife,mother and grandmother. #MAGA #TrumpTrain
 #NRA #RedWaveRising 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸",Sun Mar 04 23:59:48 +0000 2018,30,b'RT @jametteriley: RT PLEASE CALL MONDAY! #2A #NRA #Patriots #MAGA ##2ndwillstand #guncontrol #GunGrab #DueProcess CALL WH CALL CONGRESS THI\xe2\x80\xa6'
970448754946879488,['guncontrol'],970412747409252353,744216850788024320,"South Delridge, Seattle",,Sat Jun 18 17:14:59 +0000 2016,Woodworker from Ohio. Ten years older than George Clooney. Unfortunately the only thing that we have in common.,Sun Mar 04 23:59:47 +0000 2018,436,b'RT @amjoyshow: GOP Rep. @MattGaetz debates #guncontrol with @JoyAnnReid https://t.co/VnF4Jyzboi'
970448728204201985,"['GunControl', 'GunControlNow', 'BanAssaultWeapons', 'SundayMorning']",970366840219291648,19008900,"Florida, USA",Eastern Time (US & Canada),Thu Jan 15 03:21:28 +0000 2009,#legalizeMJ #BlueWave2018 #TheResistance #TermLimits #voteforourlives #tTheResistance #TrumpIsNotAboveTheLaw,Sun Mar 04 23:59:41 +0000 2018,129,"b'RT @mcspocky: Hey government, come and take it!\n#GunControl #GunControlNow #BanAssaultWeapons\n#SundayMorning https://t.co/tVDcQMAzfe'"
970448694670749698,"['GunControl', 'BoycottOscars']",,941779153719787520,"Florida, USA",,Fri Dec 15 21:17:02 +0000 2017,I’m yours. Scooch on over a little closer dear and I will nibble your ear...,Sun Mar 04 23:59:33 +0000 2018,0,b'@washingtonpost So what. They need to be rid of their armed guards before speaking on #GunControl #BoycottOscars'
970448686470877184,"['GunControl', 'GunControlNow', 'BanAssaultWeapons', 'SundayMorning']",970366840219291648,937735607559876608,,,Mon Dec 04 17:29:25 +0000 2017,"Wife - Married to the love of my life.
Involved citizen - 
#guncontrol #womensrights #strongertogether
#Feminist #DemStorm #TheResistance #Indivisible",Sun Mar 04 23:59:31 +0000 2018,129,"b'RT @mcspocky: Hey government, come and take it!\n#GunControl #GunControlNow #BanAssaultWeapons\n#SundayMorning https://t.co/tVDcQMAzfe'"
970448569487441921,"['guncontrol', 'Oscars']",970437802566365184,272237835,Scottsdale AZ ,,Sat Mar 26 03:25:17 +0000 2011,Mostly Politics ~ Conservative ~ #CCOT ~ Win The Argument.....,Sun Mar 04 23:59:03 +0000 2018,11,"b""RT @Trigrrd_tweetr: Celebs will wear orange pins in support of #guncontrol at tonight's #Oscars 2018 while surrounded by 500 armed LAPD off\xe2\x80\xa6"""
970448540613922816,"['GunControl', 'GunControlNow', 'BanAssaultWeapons', 'SundayMorning']",970366840219291648,349325829,"Vermont, USA",Eastern Time (US & Canada),Fri Aug 05 22:52:25 +0000 2011,"Ignorance is curable, but only when detected early. #Resist #FBR  #Gunsense #ClimateAction #TimesUp #RescuesAnimals #DACADeal #NeverAgain #NetNeutrality #Vote",Sun Mar 04 23:58:56 +0000 2018,129,"b'RT @mcspocky: Hey government, come and take it!\n#GunControl #GunControlNow #BanAssaultWeapons\n#SundayMorning https://t.co/tVDcQMAzfe'"
970448538604720128,['guncontrol'],970412747409252353,493824621,"California, USA",,Thu Feb 16 07:12:23 +0000 2012,"Proud Democrat. Dr. of Health Administration. RN. Raise all boats. Peaceful protester. #TheResistance, #Resist, #StrongerTogether, #Impeach, #Resign",Sun Mar 04 23:58:56 +0000 2018,436,b'RT @amjoyshow: GOP Rep. @MattGaetz debates #guncontrol with @JoyAnnReid https://t.co/VnF4Jyzboi'
