Exams_imputed
362
436
900
490
508
662
393
596
634
613
545
411
398
311
664
680
114
467
566
806
732
886
776
698
875
840
724
1115
997
775
886
1041
1011
1064
939
1335
1004
1065
1263
962
1061
1429
1205
890
1320
1276
1757
1615
1812
1702
1578
1604
1758
2011
1457
1607
1808
1866
1934
2294
2357
2334
1973
2262
2259
2217
2739
2772
3383
2869
2239
2868
2789
3455
2940
2968
3466
3037
3946
3459
3446
3258
4729
3694
4610
4841
5172
4351
5329
4736
5015
4978
5008
6094
4874
5933




